ElectionDate,OfficeCode(Text),DistrictCode(Text),StatusCode,CountyCode,CountyName,OfficeDescription,PartyOrder,PartyName,PartyDescription,CandidateID,CandidateLastName,CandidateFirstName,CandidateMiddleName,CandidateFormerName,CandidateVotes,WriteIn(W)/Uncommitted(Z),Recount(*),Nominated(N)/Elected(E)
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,1,REP,Republican,518265,Schuette,Bill,,,3408,,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,2,DEM,Democratic,518014,Whitmer,Gretchen,,,1982,,,E
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,3,LIB,Libertarian,518191,Gelineau,Bill,,,40,,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,517245,Schleiger,Todd,,,42,,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,5,GRN,Green,518257,Kurland,Jennifer,V.,,41,,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,6,NLP,Natural Law,518372,Butkovich,Keith,,,21,,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519151,Brown,Angelo,Scott,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518952,Burney,Patrick,O'Neal,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518016,Cobbs,William,,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519046,Hall,Raymond,A.,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519129,Herman,Lance,,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518238,"Hutchinson, Jr.",Larry,James,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519141,Lester,Henry,Joseph,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,517093,Lynch,Clyde,,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519061,Penny,Chaneika,Ranell,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519125,Rowley,Francis,L.,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519108,Sanders,Robin,Lee,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,,,0,W,,
11/6/2018,2,0,0,1.00,ALCONA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519050,Williams,John,Arthur,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,1,REP,Republican,518265,Schuette,Bill,,,2097,,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,2,DEM,Democratic,518014,Whitmer,Gretchen,,,1950,,,E
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,3,LIB,Libertarian,518191,Gelineau,Bill,,,42,,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,517245,Schleiger,Todd,,,29,,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,5,GRN,Green,518257,Kurland,Jennifer,V.,,33,,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,6,NLP,Natural Law,518372,Butkovich,Keith,,,8,,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519151,Brown,Angelo,Scott,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518952,Burney,Patrick,O'Neal,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518016,Cobbs,William,,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519046,Hall,Raymond,A.,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519129,Herman,Lance,,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518238,"Hutchinson, Jr.",Larry,James,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519141,Lester,Henry,Joseph,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,517093,Lynch,Clyde,,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519061,Penny,Chaneika,Ranell,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519125,Rowley,Francis,L.,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519108,Sanders,Robin,Lee,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,,,0,W,,
11/6/2018,2,0,0,2.00,ALGER,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519050,Williams,John,Arthur,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,1,REP,Republican,518265,Schuette,Bill,,,28648,,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,2,DEM,Democratic,518014,Whitmer,Gretchen,,,19497,,,E
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,3,LIB,Libertarian,518191,Gelineau,Bill,,,839,,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,517245,Schleiger,Todd,,,366,,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,5,GRN,Green,518257,Kurland,Jennifer,V.,,367,,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,6,NLP,Natural Law,518372,Butkovich,Keith,,,136,,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519151,Brown,Angelo,Scott,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518952,Burney,Patrick,O'Neal,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518016,Cobbs,William,,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519046,Hall,Raymond,A.,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519129,Herman,Lance,,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518238,"Hutchinson, Jr.",Larry,James,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519141,Lester,Henry,Joseph,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,517093,Lynch,Clyde,,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519061,Penny,Chaneika,Ranell,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519125,Rowley,Francis,L.,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519108,Sanders,Robin,Lee,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518032,Space,Evan,,,0,W,,
11/6/2018,2,0,0,3.00,ALLEGAN,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519050,Williams,John,Arthur,,0,W,,
11/6/2018,2,0,0,4.00,ALPENA,Governor 4 Year Term (1) Position,1,REP,Republican,518265,Schuette,Bill,,,7031,,,
11/6/2018,2,0,0,4.00,ALPENA,Governor 4 Year Term (1) Position,2,DEM,Democratic,518014,Whitmer,Gretchen,,,5595,,,E
11/6/2018,2,0,0,4.00,ALPENA,Governor 4 Year Term (1) Position,3,LIB,Libertarian,518191,Gelineau,Bill,,,161,,,
11/6/2018,2,0,0,4.00,ALPENA,Governor 4 Year Term (1) Position,4,UST,US Taxpayers,517245,Schleiger,Todd,,,112,,,
11/6/2018,2,0,0,4.00,ALPENA,Governor 4 Year Term (1) Position,5,GRN,Green,518257,Kurland,Jennifer,V.,,127,,,
11/6/2018,2,0,0,4.00,ALPENA,Governor 4 Year Term (1) Position,6,NLP,Natural Law,518372,Butkovich,Keith,,,46,,,
11/6/2018,2,0,0,4.00,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,519151,Brown,Angelo,Scott,,0,W,,
11/6/2018,2,0,0,4.00,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518952,Burney,Patrick,O'Neal,,0,W,,
11/6/2018,2,0,0,4.00,ALPENA,Governor 4 Year Term (1) Position,8,NPA,No  Affiliation,518016,Cobbs,William,,,0,W,,
